tname	rgenename	tgenename
Leg	CrzR	CG10348,Dll,ems,foxo,grh,Hnf4,klu,mid,Poxm,Rel,scrt,Sox14,sr,svp,toy,Ubx
Leg	FMRFaR	Atf6,bol,Cf2,CG12605,CHES-1-like,crp,hth,jim,klu,Mef2,nub,Pdp1,Rbp6,scrt,sr,vri,zfh1
Leg	NPFR	CG17802,CrebB,CTCF,da
Leg	PK1-R	al,CG10348,dysf,ems,grh,Hnf4,Rel
Leg	Pdfr	bol,cbt,Cf2,CG16779,CHES-1-like,foxo,Hnf4,hth,Mef2,Mondo,NfI,Pdp1,repo,sr,srp,sug,Trf,Trf2,vri
Leg	SIFaR	Oli,onecut,peb,Rbp6,Rfx,scro,Tbp,tgo
Leg	TkR86C	CG9727,da,nerfin-2,onecut,peb,Rbp6,Rfx
Leg	sNPF-R	Atf3,cbt,Jra,Lim1,Myc,nej,Nf1,Rbp6,Sox100B,svp,Trf2,trx,Xbp1
Male reproductive glands	AstA-R1	Abl,Atf3,Atf6,BtbVII,Cf2,CHES-1-like,Clk,cnc,Cnx99A,crp,E2f1,Eip74EF,foxo,Hnf4,Hr78,jim,Mef2,Mitf,Nf-YA,pan,prd,Psi,sima,srp,ss,Trf2,trx,vri,Xbp1
Male reproductive glands	AstA-R2	Atf6,B-H2,CHES-1-like,crc,Dr,E2f1,foxo,gsb-n,nub,pho,prd,Psi,SMC3,Trf2
Male reproductive glands	AstC-R1	Argk,Atf3,D,Mef2,NfI,pan,Sox102F
Male reproductive glands	AstC-R2	Atf3,Atf6,Cf2,CHES-1-like,Clk,cnc,CrebB,crp,cwo,da,Dfd,E2f1,EcR,foxo,jim,kay,Mef2,Pdp1,pho,Psi,SoxN,SREBP,srp,Xbp1
Male reproductive glands	CrzR	Atf3,Clk,cnc,CTCF,cwo,da,hng1,kay,Med,Mef2,Pdp1,repo,Sox100B,vtd
Male reproductive glands	FMRFaR	Mef2,NfI,org-1
Male reproductive glands	PK1-R	Atf3,CG15696,CHES-1-like,foxo,GATAd,kay,Mef2,Psi,Rfx,srp
Male reproductive glands	Pdfr	aop,Atf3,Blimp-1,cbt,Cf2,Clk,CTCF,foxo,Hnf4,Mef2,Mondo,NfI,pan,Pdp1,Sox102F,Sox14,srp,sug,Trf2
Male reproductive glands	SIFaR	Abl,Atf3,Atf6,bowl,BtbVII,Cf2,CHES-1-like,Cnx99A,crc,CrebB,crp,Dp,E2f1,EcR,ewg,foxo,gsb-n,Hr78,Hsf,Mitf,pho,prd,Psi,Trf2,Usf
