tf	tfcount	gene	gcount	nprtype
pan_(-)-NPR	797	AstA-R2	16	npr
pan_(-)-NPR	30	AstC-R1	30	npr
pan_(-)-NPR	1474	FMRFaR	5	npr
pan_(-)-NPR	2125	Pdfr	29	npr
pan_(-)-NPR	391	sNPF-R	3	npr
pb_(+)-NPR	230	AstC-R1	4	npr
pb_(+)-NPR	4003	CrzR	176	npr
pb_(+)-NPR	500	SIFaR	5	npr
pb_(+)-NPR	417	sNPF-R	1	npr
pb_(-)-NPR	1187	CrzR	99	npr
pdm2_(+)-NPR	61	AstC-R1	94	npr
Pdp1_(-)-NPR	1461	AstA-R1	3	npr
Pdp1_(-)-NPR	42	AstC-R2	2	npr
Pdp1_(-)-NPR	13	CrzR	3	npr
Pdp1_(-)-NPR	1840	FMRFaR	82	npr
Pdp1_(-)-NPR	145	NPFR	4	npr
Pdp1_(-)-NPR	1367	Pdfr	140	npr
Pdp1_(-)-NPR	374	sNPF-R	3	npr
peb_(-)-NPR	968	AstA-R2	1	npr
peb_(-)-NPR	10332	AstC-R1	4	npr
peb_(-)-NPR	2361	Pdfr	3	npr
peng_(+)-NPR	1493	AstA-R1	1	npr
peng_(+)-NPR	148	NPFR	5	npr
peng_(+)-NPR	19	TkR86C	8	npr
pho_(+)-NPR	11255	AstA-R1	59	npr
pho_(+)-NPR	96	AstA-R2	2	npr
pho_(+)-NPR	4274	AstC-R2	2	npr
pho_(+)-NPR	2213	NPFR	24	npr
pho_(+)-NPR	907	SIFaR	19	npr
pho_(+)-NPR	2565	sNPF-R	2	npr
pho_(-)-NPR	1017	AstC-R2	1	npr
pho_(-)-NPR	159	NPFR	23	npr
pita_(+)-NPR	1972	AstA-R1	7	npr
pita_(+)-NPR	48	AstC-R2	1	npr
pnr_(+)-NPR	85	AstA-R2	1	npr
pnr_(+)-NPR	208	CrzR	26	npr
pnr_(+)-NPR	718	PK1-R	1	npr
pnr_(-)-NPR	718	PK1-R	1	npr
pnt_(+)-NPR	4903	AstA-R1	10	npr
pnt_(+)-NPR	96	AstA-R2	25	npr
pnt_(+)-NPR	142	AstC-R1	3	npr
pnt_(+)-NPR	3366	CrzR	5	npr
pnt_(+)-NPR	1544	FMRFaR	3	npr
pnt_(+)-NPR	3654	Pdfr	23	npr
pnt_(+)-NPR	1254	PK1-R	58	npr
pnt_(+)-NPR	649	SIFaR	1	npr
pnt_(+)-NPR	3207	sNPF-R	22	npr
pnt_(+)-NPR	16	TkR86C	7	npr
Poxm_(+)-NPR	1013	CrzR	2	npr
Poxm_(+)-NPR	6198	sNPF-R	9	npr
Poxm_(-)-NPR	1018	CrzR	2	npr
Poxm_(-)-NPR	160	sNPF-R	3	npr
Pph13_(+)-NPR	186	AstA-R1	1	npr
prd_(+)-NPR	287	AstA-R1	5	npr
prd_(+)-NPR	96	AstA-R2	4	npr
prd_(+)-NPR	266	SIFaR	11	npr
prd_(+)-NPR	173	sNPF-R	8	npr
pros_(+)-NPR	24247	AstA-R1	35	npr
pros_(+)-NPR	2467	TkR86C	29	npr
Ptx1_(+)-NPR	8123	AstA-R1	2	npr
Ptx1_(+)-NPR	22	AstA-R2	1	npr
Ptx1_(+)-NPR	19	AstC-R2	5	npr
Ptx1_(+)-NPR	49	NPFR	2	npr
Ptx1_(+)-NPR	31	SIFaR	60	npr
Ptx1_(+)-NPR	383	sNPF-R	1	npr
Ptx1_(+)-NPR	13	TkR86C	1	npr
Pur-alpha_(+)-NPR	90	Pdfr	1	npr
Rbf2_(+)-NPR	10	AstC-R2	6	npr
Rbf2_(+)-NPR	24	SIFaR	22	npr
Rbf_(+)-NPR	1711	AstA-R1	16	npr
Rbf_(+)-NPR	10	AstC-R2	34	npr
Rbf_(+)-NPR	148	NPFR	4	npr
Rel_(-)-NPR	4683	AstA-R1	6	npr
Rel_(-)-NPR	4690	CrzR	57	npr
Rel_(-)-NPR	2481	FMRFaR	1	npr
Rel_(-)-NPR	241	NPFR	31	npr
Rel_(-)-NPR	1158	PK1-R	25	npr
Rel_(-)-NPR	140	sNPF-R	6	npr
repo_(+)-NPR	96	AstA-R2	25	npr
repo_(+)-NPR	110	AstC-R1	139	npr
repo_(+)-NPR	7	CrzR	2	npr
repo_(+)-NPR	1408	Pdfr	10	npr
repo_(+)-NPR	228	PK1-R	99	npr
repo_(+)-NPR	42	SIFaR	118	npr
repo_(+)-NPR	850	sNPF-R	310	npr
REPTOR-BP_(+)-NPR	4346	AstA-R1	2	npr
REPTOR-BP_(+)-NPR	81	AstC-R2	12	npr
REPTOR-BP_(+)-NPR	82	FMRFaR	31	npr
REPTOR-BP_(+)-NPR	30	NPFR	8	npr
REPTOR-BP_(+)-NPR	5823	Pdfr	3	npr
retn_(+)-NPR	183	CrzR	2	npr
Rfx_(-)-NPR	3577	AstA-R1	115	npr
Rfx_(-)-NPR	129	AstC-R1	57	npr
Rfx_(-)-NPR	271	AstC-R2	20	npr
Rfx_(-)-NPR	1380	FMRFaR	3	npr
Rfx_(-)-NPR	335	NPFR	8	npr
Rfx_(-)-NPR	886	Pdfr	4	npr
Rfx_(-)-NPR	398	SIFaR	36	npr
Rfx_(-)-NPR	1669	sNPF-R	83	npr
Rfx_(-)-NPR	1079	TkR86C	17	npr
rn_(+)-NPR	3402	AstA-R1	5	npr
rn_(+)-NPR	187	SIFaR	5	npr
rn_(+)-NPR	46	sNPF-R	1	npr
rn_(-)-NPR	113	SIFaR	5	npr
ro_(+)-NPR	232	AstA-R1	5	npr
RpII215_(+)-NPR	8	NPFR	5	npr
RpII215_(+)-NPR	16	SIFaR	19	npr
rump_(+)-NPR	426	NPFR	10	npr
rump_(+)-NPR	3384	SIFaR	20	npr
rump_(+)-NPR	231	sNPF-R	4	npr
RunxB_(+)-NPR	234	AstA-R1	4	npr
RunxB_(+)-NPR	23	AstA-R2	61	npr
salr_(+)-NPR	23	AstA-R2	2	npr
scro_(+)-NPR	3679	AstA-R1	50	npr
scro_(+)-NPR	198	SIFaR	5	npr
scro_(+)-NPR	1689	sNPF-R	18	npr
scro_(-)-NPR	2457	AstA-R1	1	npr
scro_(-)-NPR	179	SIFaR	3	npr
scro_(-)-NPR	1611	sNPF-R	5	npr
scrt_(-)-NPR	3306	CrzR	218	npr
scrt_(-)-NPR	2205	FMRFaR	38	npr
Scr_(+)-NPR	36	AstA-R2	45	npr
Scr_(+)-NPR	6	AstC-R2	50	npr
Scr_(+)-NPR	3803	CrzR	92	npr
sc_(+)-NPR	843	AstA-R1	100	npr
sd_(-)-NPR	2719	AstA-R1	51	npr
sd_(-)-NPR	1145	Pdfr	2	npr
Sidpn_(+)-NPR	4084	AstA-R1	225	npr
Sidpn_(-)-NPR	1160	AstA-R1	100	npr
sima_(-)-NPR	354	AstA-R1	32	npr
sim_(+)-NPR	5823	Pdfr	58	npr
Sin3A_(+)-NPR	8	TkR86C	11	npr
Six4_(+)-NPR	2467	TkR86C	100	npr
slbo_(+)-NPR	1911	AstA-R1	5	npr
slbo_(+)-NPR	203	NPFR	9	npr
slp1_(+)-NPR	297	AstA-R2	100	npr
slp1_(+)-NPR	156	AstC-R1	178	npr
slp1_(+)-NPR	76	FMRFaR	9	npr
slp1_(+)-NPR	638	sNPF-R	26	npr
slp1_(+)-NPR	264	TkR86C	5	npr
slp2_(+)-NPR	23	AstA-R2	9	npr
slp2_(+)-NPR	356	AstC-R1	8	npr
slp2_(+)-NPR	635	AstC-R2	1	npr
slp2_(+)-NPR	76	FMRFaR	16	npr
slp2_(+)-NPR	202	PK1-R	2	npr
slp2_(+)-NPR	52	sNPF-R	21	npr
SMC3_(+)-NPR	34	AstA-R2	4	npr
Smox_(+)-NPR	8	AstC-R2	3	npr
Smox_(+)-NPR	310	sNPF-R	1	npr
Smox_(-)-NPR	67	sNPF-R	1	npr
sna_(+)-NPR	618	AstA-R1	9	npr
snRNP-U1-70K_(+)-NPR	814	FMRFaR	27	npr
sob_(+)-NPR	106	AstC-R1	20	npr
sob_(+)-NPR	1611	sNPF-R	85	npr
Sox100B_(+)-NPR	6425	AstA-R1	1	npr
Sox100B_(+)-NPR	11	CrzR	4	npr
Sox100B_(+)-NPR	1651	Pdfr	1	npr
Sox100B_(+)-NPR	448	sNPF-R	1	npr
Sox102F_(+)-NPR	11164	AstC-R1	122	npr
Sox102F_(+)-NPR	6765	CrzR	21	npr
Sox102F_(+)-NPR	18849	Pdfr	44	npr
Sox102F_(+)-NPR	187	SIFaR	2	npr
Sox102F_(+)-NPR	198	sNPF-R	6	npr
Sox102F_(-)-NPR	4442	AstC-R1	108	npr
Sox102F_(-)-NPR	6700	CrzR	21	npr
Sox102F_(-)-NPR	3490	Pdfr	9	npr
Sox102F_(-)-NPR	187	SIFaR	2	npr
Sox102F_(-)-NPR	52	sNPF-R	3	npr
Sox14_(+)-NPR	8527	AstA-R1	39	npr
Sox14_(+)-NPR	1038	CrzR	2	npr
Sox14_(+)-NPR	123	Pdfr	1	npr
Sox14_(+)-NPR	646	SIFaR	2	npr
Sox14_(+)-NPR	205	sNPF-R	98	npr
Sox14_(-)-NPR	3949	AstA-R1	11	npr
Sox14_(-)-NPR	959	CrzR	1	npr
Sox14_(-)-NPR	123	Pdfr	1	npr
Sox14_(-)-NPR	649	SIFaR	2	npr
Sox21b_(+)-NPR	807	AstC-R1	14	npr
Sox21b_(+)-NPR	334	AstC-R2	3	npr
Sox21b_(+)-NPR	17	CrzR	5	npr
Sox21b_(+)-NPR	19075	Pdfr	100	npr
Sox21b_(+)-NPR	1585	sNPF-R	1	npr
Sox21b_(-)-NPR	5575	Pdfr	100	npr
SoxN_(+)-NPR	2510	AstA-R1	1	npr
SoxN_(+)-NPR	39	AstA-R2	10	npr
SoxN_(+)-NPR	11139	AstC-R1	49	npr
SoxN_(+)-NPR	426	AstC-R2	24	npr
SoxN_(+)-NPR	20241	Pdfr	200	npr
SoxN_(+)-NPR	3115	SIFaR	96	npr
SoxN_(+)-NPR	173	sNPF-R	3	npr
SoxN_(-)-NPR	5627	AstC-R1	1	npr
SoxN_(-)-NPR	36	AstC-R2	1	npr
SoxN_(-)-NPR	11366	Pdfr	100	npr
SoxN_(-)-NPR	1798	SIFaR	3	npr
SoxN_(-)-NPR	148	sNPF-R	3	npr
so_(+)-NPR	151	AstA-R2	2	npr
so_(+)-NPR	5758	Pdfr	1	npr
so_(+)-NPR	16	SIFaR	1	npr
Sp1_(+)-NPR	174	CrzR	3	npr
Sp1_(+)-NPR	68	TkR86C	2	npr
Spps_(+)-NPR	14	CapaR	1	npr
Spps_(+)-NPR	17753	Pdfr	3	npr
Spps_(+)-NPR	16	TkR86C	1	npr
sqz_(+)-NPR	24	AstA-R1	3	npr
sqz_(+)-NPR	800	AstA-R2	4	npr
sqz_(+)-NPR	470	CrzR	1	npr
sqz_(+)-NPR	77	FMRFaR	4	npr
SREBP_(+)-NPR	2024	AstA-R1	11	npr
SREBP_(+)-NPR	1601	AstC-R2	4	npr
SREBP_(+)-NPR	4065	CrzR	91	npr
SREBP_(+)-NPR	5823	Pdfr	2	npr
SREBP_(+)-NPR	673	SIFaR	12	npr
srp_(-)-NPR	665	AstA-R1	7	npr
srp_(-)-NPR	2696	Pdfr	186	npr
srp_(-)-NPR	130	sNPF-R	40	npr
sr_(-)-NPR	21969	AstA-R1	225	npr
sr_(-)-NPR	142	AstA-R2	31	npr
sr_(-)-NPR	2682	AstC-R1	77	npr
sr_(-)-NPR	453	AstC-R2	13	npr
sr_(-)-NPR	1021	CrzR	6	npr
sr_(-)-NPR	16188	FMRFaR	341	npr
sr_(-)-NPR	1656	NPFR	35	npr
sr_(-)-NPR	15006	Pdfr	84	npr
sr_(-)-NPR	2552	SIFaR	41	npr
sr_(-)-NPR	11870	sNPF-R	68	npr
sr_(-)-NPR	3589	TkR86C	174	npr
ss_(+)-NPR	15715	AstA-R1	208	npr
ss_(+)-NPR	807	AstC-R1	36	npr
ss_(+)-NPR	334	AstC-R2	41	npr
ss_(+)-NPR	8129	CrzR	8	npr
ss_(+)-NPR	839	FMRFaR	5	npr
ss_(+)-NPR	342	NPFR	40	npr
ss_(+)-NPR	1504	PK1-R	200	npr
ss_(+)-NPR	22	SIFaR	1	npr
ss_(+)-NPR	42	TkR86C	1	npr
ss_(-)-NPR	7855	AstA-R1	15	npr
ss_(-)-NPR	3456	CrzR	1	npr
ss_(-)-NPR	636	PK1-R	100	npr
Stat92E_(-)-NPR	394	AstA-R2	6	npr
Stat92E_(-)-NPR	3364	CrzR	8	npr
Stat92E_(-)-NPR	1444	FMRFaR	15	npr
Stat92E_(-)-NPR	1691	sNPF-R	3	npr
sug_(+)-NPR	15	CapaR	2	npr
sug_(+)-NPR	3076	CrzR	3	npr
sug_(+)-NPR	8	NPFR	3	npr
sug_(+)-NPR	3241	Pdfr	94	npr
sug_(-)-NPR	3158	CrzR	3	npr
svp_(-)-NPR	625	AstA-R1	3	npr
svp_(-)-NPR	8550	CrzR	476	npr
svp_(-)-NPR	8668	FMRFaR	5	npr
svp_(-)-NPR	1735	NPFR	31	npr
svp_(-)-NPR	21121	Pdfr	115	npr
svp_(-)-NPR	12	SIFaR	5	npr
svp_(-)-NPR	8286	sNPF-R	172	npr
sv_(+)-NPR	3410	AstA-R1	9	npr
sv_(+)-NPR	2630	AstC-R1	11	npr
sv_(+)-NPR	132	FMRFaR	28	npr
sv_(+)-NPR	20597	Pdfr	247	npr
sv_(+)-NPR	9	SIFaR	9	npr
sv_(+)-NPR	2667	sNPF-R	1	npr
sv_(-)-NPR	3410	AstA-R1	9	npr
sv_(-)-NPR	1164	Pdfr	100	npr
sv_(-)-NPR	2667	sNPF-R	1	npr
Taf7_(+)-NPR	22	AstC-R1	2	npr
Taf7_(+)-NPR	27	AstC-R2	1	npr
tai_(-)-NPR	556	Pdfr	1	npr
tap_(+)-NPR	360	sNPF-R	45	npr
Tbp_(+)-NPR	8	SIFaR	9	npr
Tbp_(+)-NPR	52	sNPF-R	2	npr
Tet_(-)-NPR	1786	AstA-R1	100	npr
TfAP-2_(+)-NPR	517	NPFR	2	npr
TfAP-2_(+)-NPR	1137	Pdfr	4	npr
TfAP-2_(+)-NPR	17	TkR86C	2	npr
TfIIA-S_(+)-NPR	50	CrzR	8	npr
tgo_(+)-NPR	81	AstC-R2	46	npr
tgo_(+)-NPR	11	CapaR	2	npr
tgo_(+)-NPR	11	SIFaR	16	npr
tin_(+)-NPR	218	sNPF-R	86	npr
tj_(+)-NPR	26240	AstA-R1	188	npr
tj_(+)-NPR	297	AstA-R2	100	npr
tj_(+)-NPR	7206	FMRFaR	2	npr
tj_(+)-NPR	556	Pdfr	1	npr
tj_(-)-NPR	1323	AstA-R1	4	npr
tj_(-)-NPR	7206	FMRFaR	2	npr
tj_(-)-NPR	556	Pdfr	1	npr
Topors_(+)-NPR	327	Pdfr	1	npr
Traf4_(+)-NPR	124	AstC-R1	2	npr
Traf4_(-)-NPR	2019	AstA-R1	1	npr
Trf2_(-)-NPR	2676	AstA-R1	31	npr
Trf2_(-)-NPR	6	AstA-R2	11	npr
Trf2_(-)-NPR	1330	CrzR	6	npr
Trf2_(-)-NPR	24	FMRFaR	1	npr
Trf2_(-)-NPR	3547	Pdfr	106	npr
Trf2_(-)-NPR	10	SIFaR	50	npr
Trf2_(-)-NPR	1144	sNPF-R	9	npr
Trf_(+)-NPR	23	AstC-R1	21	npr
Trf_(+)-NPR	78	Pdfr	2	npr
ttk_(+)-NPR	181	NPFR	5	npr
ttk_(+)-NPR	29	SIFaR	1	npr
ttk_(-)-NPR	518	NPFR	1	npr
ttk_(-)-NPR	635	SIFaR	1	npr
tup_(+)-NPR	11355	AstA-R1	37	npr
tup_(+)-NPR	225	AstC-R1	13	npr
tup_(+)-NPR	1294	CrzR	2	npr
tup_(+)-NPR	1039	FMRFaR	73	npr
tup_(+)-NPR	22	SIFaR	1	npr
tup_(+)-NPR	724	sNPF-R	172	npr
tup_(-)-NPR	3518	CrzR	2	npr
tup_(-)-NPR	246	sNPF-R	23	npr
Ubx_(+)-NPR	4176	CrzR	73	npr
Ubx_(+)-NPR	672	Pdfr	2	npr
Ubx_(-)-NPR	4480	CrzR	8	npr
unc-4_(+)-NPR	670	AstA-R1	20	npr
unc-4_(+)-NPR	4	AstC-R2	7	npr
unc-4_(+)-NPR	173	sNPF-R	1	npr
unpg_(+)-NPR	418	AstC-R2	16	npr
Usf_(+)-NPR	1080	AstA-R1	1	npr
Usf_(+)-NPR	81	AstC-R2	4	npr
Usf_(+)-NPR	260	SIFaR	3	npr
Usf_(+)-NPR	4272	sNPF-R	3	npr
usp_(+)-NPR	2398	AstA-R1	31	npr
usp_(+)-NPR	250	Pdfr	16	npr
usp_(+)-NPR	10185	sNPF-R	4	npr
usp_(-)-NPR	1168	AstA-R1	20	npr
vis_(+)-NPR	99	SIFaR	1	npr
vis_(+)-NPR	16	TkR86C	15	npr
vnd_(+)-NPR	8123	AstA-R1	2	npr
vnd_(+)-NPR	24	AstC-R2	1	npr
vnd_(+)-NPR	835	FMRFaR	4	npr
vnd_(+)-NPR	163	SIFaR	4	npr
vnd_(+)-NPR	218	sNPF-R	2	npr
vri_(-)-NPR	2377	AstA-R1	3	npr
vri_(-)-NPR	807	AstC-R1	2	npr
vri_(-)-NPR	1462	FMRFaR	35	npr
vri_(-)-NPR	556	Pdfr	4	npr
vri_(-)-NPR	3556	SIFaR	3	npr
vri_(-)-NPR	1827	sNPF-R	50	npr
Vsx1_(+)-NPR	9912	AstC-R1	1	npr
Vsx1_(+)-NPR	18	SIFaR	7	npr
Vsx1_(+)-NPR	736	sNPF-R	19	npr
Vsx2_(+)-NPR	332	AstC-R2	40	npr
Vsx2_(+)-NPR	5	FMRFaR	5	npr
Vsx2_(+)-NPR	29	SIFaR	7	npr
Vsx2_(+)-NPR	2703	sNPF-R	157	npr
vtd_(+)-NPR	420	AstC-R2	2	npr
vtd_(+)-NPR	13	CrzR	1	npr
vtd_(+)-NPR	1520	NPFR	6	npr
vtd_(+)-NPR	682	Pdfr	1	npr
vtd_(+)-NPR	17	SIFaR	7	npr
vtd_(+)-NPR	4980	sNPF-R	25	npr
vvl_(+)-NPR	1225	AstA-R1	10	npr
vvl_(+)-NPR	1972	CrzR	12	npr
vvl_(+)-NPR	10186	sNPF-R	2	npr
vvl_(+)-NPR	1866	TkR86C	1	npr
vvl_(-)-NPR	1799	CrzR	2	npr
vvl_(-)-NPR	9408	sNPF-R	2	npr
vvl_(-)-NPR	1946	TkR86C	1	npr
Xbp1_(-)-NPR	494	AstA-R1	1	npr
Xbp1_(-)-NPR	10149	CrzR	176	npr
Xbp1_(-)-NPR	7202	FMRFaR	1	npr
Xbp1_(-)-NPR	6	NPFR	4	npr
Xbp1_(-)-NPR	1552	Pdfr	3	npr
Xbp1_(-)-NPR	648	PK1-R	1	npr
Xbp1_(-)-NPR	15	SIFaR	5	npr
Xbp1_(-)-NPR	10	TkR86C	33	npr
Xrp1_(-)-NPR	138	AstC-R1	99	npr
yps_(+)-NPR	2926	AstA-R1	1	npr
zfh1_(+)-NPR	61	AstC-R1	2	npr
zfh1_(+)-NPR	418	Pdfr	1	npr
zfh1_(-)-NPR	61	AstC-R1	2	npr
zfh1_(-)-NPR	2205	FMRFaR	1	npr
zfh1_(-)-NPR	471	Pdfr	1	npr
zfh2_(+)-NPR	9506	AstA-R1	106	npr
zfh2_(+)-NPR	320	AstA-R2	11	npr
zfh2_(+)-NPR	807	AstC-R1	4	npr
zfh2_(+)-NPR	23	AstC-R2	2	npr
zfh2_(+)-NPR	5928	CrzR	52	npr
zfh2_(-)-NPR	1159	AstA-R1	93	npr
zfh2_(-)-NPR	3	AstA-R2	6	npr
zfh2_(-)-NPR	186	AstC-R1	4	npr
zfh2_(-)-NPR	2622	CrzR	92	npr
