tname	rgenename	tgenename
Antenna	AstC-R2	Atf6,bru3,CG44247,CHES-1-like,crc,da,E2f1,fkh,Lim3,Max,Mef2,Mondo,Myc,onecut,orb,Rbp6,Rfx,sd,sr,Trf2,unpg,vtd
Antenna	CCAP-R	CG10431,CHES-1-like,Hr3,jim,run,scro,Sox21b
Antenna	CCHa1-R	bru3,Fer1,ftz-f1,Hmx,Hnf4,Hr3,jim,Lim3,Mef2,onecut,peb,Rfx,slp1,SMC3,Stat92E,Trf2
Antenna	CCHa2-R	CHES-1-like,CrebB,da,Dif,Fer1,fkh,FoxK,inv,Myc,onecut,Rfx
Antenna	CCKLR-17D1	CG12605,ERR,ftz-f1,grh,H15,Hnf4,kay,Mef2,mid,Rel,scrt,sv
Antenna	CCKLR-17D3	bru3,CrebA,Hr3,jim,Mef2,nej,onecut,Rfx,Trf2
Antenna	CNMaR	bru3,Cnx99A,inv,Lim3,Max,onecut,Rfx,Xbp1
Antenna	CrzR	bi,CG10348,CG12605,E5,ems,grh,Hnf4,hth,kay,lbl,Rel,scrt,Sox102F,Xbp1,zfh2
Antenna	Dh31-R	Abl,Atf3,bbx,bru3,BtbVII,Cf2,CG44247,Cnx99A,crc,CrebB,cwo,Dp,Ets98B,Fer1,FoxP,GATAd,Hnf4,Hr3,jim,nub,onecut,pan,pb,peb,pnt,Sox15,sr,SREBP,Trf2,tup,Xbp1
Antenna	Dh44-R1	bbx,bru3,BtbVII,Cf2,CG44247,CHES-1-like,crc,CrebB,crp,cwo,da,Dif,E2f1,Hr3,Hsf,jim,Kdm4B,Max,Mef2,Myc,onecut,peb,pnt,Rbp6,Rfx,sage,Trf2,tup,Xbp1
Antenna	Dh44-R2	Cf2,cnc,dve,E2f1,grn,pnt,repo,svp,Trf2,trx
Antenna	ETHR	Atf3,BtbVII,Cf2,CG44247,CHES-1-like,crc,CrebB,Dif,dysf,E5,Ets98B,FoxP,Hnf4,Hr3,Hsf,jim,Mef2,Myc,onecut,pan,peb,Rbp6,sr,Trf2,trx,Xbp1
Antenna	FMRFaR	Atf3,bru3,ftz-f1,Hnf4,jim,Kdm4B,klu,Myc,nej,NfI,onecut,pan,peb,Rbp6,Rel,Rfx,sr,Stat92E
Antenna	Gyc76C	grn
Antenna	InR	Abl,Atf3,Blimp-1,cnc,dysf,foxo,grh,Hnf4,hth,kay,Myc,nej,NFAT,oc,pan,pnt,Rbp6,shn,sv,TfAP-2,trx,Xbp1,Xrp1
Antenna	Lgr1	CG44247,Fer1,Max,onecut,pnt,Rfx,Sox14,sr
Antenna	Lgr3	toy
Antenna	Lgr4	FoxP,jim,Rbp6,Rfx
Antenna	Lkr	Atf6,BtbVII,CG44247,CHES-1-like,crc,da,E2f1,FoxK,inv,jim,Mef2,Mondo,Myc,Not3,Oli,onecut,Rfx,trx,Usf
Antenna	MsR1	Abl,CHES-1-like,crc,CrebB,crp,da,Dr,exd,Fer1,fkh,ftz-f1,Hnf4,Hr3,Mef2,Mondo,Myc,onecut,ovo,pho,pnt,Rbp6,Rfx,Sox14,sr,Stat92E,Trf2,trx
Antenna	MsR2	bru3,CG12605,CHES-1-like,crp,da,Ets65A,FoxP,Kdm4B,onecut,pan,pho,pnr,Rbp6,Rfx,srp
Antenna	NPFR	Atf3,byn,CG44247,crp,Fer1,Mef2,onecut,Rfx,rump,Trf2,trx,ttk
Antenna	PK1-R	B-H1,grh,Hnf4,pnt
Antenna	PK2-R1	Awh
Antenna	PK2-R2	Awh,bru3,Oli,Sox102F
Antenna	Pdfr	Atf3,bru3,BtbVII,Cf2,CG44247,CHES-1-like,crc,CrebB,crp,Drgx,ERR,grn,hth,jim,Kdm4B,Mef2,Myc,onecut,pan,pnt,Rbp6,repo,Rfx,sr,Trf2
Antenna	Proc-R	Atf3,CG16779,ci,Drgx,FoxP,grn,kay,pnt,repo,scrt,Sox102F,zfh2
Antenna	RYa-R	bru3,BtbVII,CG44247,CrebB,E2f1,Fer1,Mef2,onecut,pb,peb,Rbp6,Rfx,sr,Trf2,trx,Xbp1
Antenna	SIFaR	Abl,BtbVII,Cf2,CHES-1-like,crc,CrebA,CrebB,E2f1,Ets98B,Fer1,foxo,Hnf4,Hr3,Kdm4B,Mef2,nej,onecut,ovo,peb,pho,pnt,Rbp6,Rfx,rump,Sox14,SREBP,Trf2,trx,ttk,vis,vri,Xbp1
